RAZA,SEXO,Intercept,Coef_1,Coef_2,Coef_3,Coef_4
COBB,HEMBRA,44.93882274925332,0.763535240830174,0.0009045416999060974,-1.872515026348517e-06,1.1234584790153945e-09
COBB,MACHO,46.71720682727573,0.7314912959047711,0.001131842544636892,-2.1505012621086656e-06,1.2415184369561552e-09
COBB,MIXTO,45.13890248317148,0.7862140040851531,0.0007563905436139809,-1.4511337415135278e-06,8.053056733762821e-10
HUBBARD,HEMBRA,51.918846850221854,1.055984356459789,-0.0004925425971412299,6.187819755714562e-07,-3.5840785375225426e-10
HUBBARD,MACHO,53.317721274759606,0.9936303106817934,0.00010442993763882615,-1.2783237668398771e-06,1.5231210558748496e-09
HUBBARD,MIXTO,51.918846850221854,1.055984356459789,-0.0004925425971412299,6.187819755714562e-07,-3.5840785375225426e-10
ROSS,HEMBRA,45.35010401926937,0.8577385531335296,-3.785361866861808e-05,-2.011929218811955e-07,1.7235602421355045e-10
ROSS,MACHO,46.89585388067778,0.937363827095351,-0.0004799887303371984,6.801864776646584e-07,-4.212754000914853e-10
ROSS,MIXTO,45.84280957964583,0.9109748713321936,-0.00035926527213771405,4.791271289527096e-07,-3.179828991367642e-10
ROSS 308 AP,HEMBRA,49.45951785481557,1.0486024937199065,-0.0005984249961598986,1.0185785105990633e-06,-7.263953986502532e-10
ROSS 308 AP,MACHO,49.436503793530676,1.1578332510620883,-0.0011016493556525939,1.9248178148644113e-06,-1.2909821578656942e-09
ROSS 308 AP,MIXTO,49.66844143078646,1.098104541241455,-0.000796889891543978,1.3080093102140138e-06,-8.602171999293952e-10